Sample	Taxon	TaxonName	MappedReads	Accession	GenomeLength	AvgReadLength	CoveredBases	Co	Ce	R	Pass	Lineage	AccessionName	Farm	Symptoms	PCR	Location	Age	Age_bracket	CP-Values	Virus
barcode32	28295	Porcine epidemic diarrhea virus	4	OM914738.1	28095	281.673	79	0.0028118882363409	0.0393094560266462	0.0715321075528219	False	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;Pedacovirus;Alphacoronavirus porci;Porcine epidemic diarrhea virus		Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	194958	Porcine endogenous retrovirus A	268	HQ540592.1	15325	281.673	577	0.0376508972267536	0.992743308397306	0.0379261153495334	False	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Gammaretrovirus porConc;Porcine type-C oncovirus;Porcine endogenous retrovirus;Porcine endogenous retrovirus A		Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	194959	Porcine endogenous retrovirus B	192	HQ540594.1	9404	281.673	305	0.0324330072309655	0.9968199986917108	0.0325364732584946	False	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Gammaretrovirus porConc;Porcine type-C oncovirus;Porcine endogenous retrovirus;Porcine endogenous retrovirus B		Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	1580580	Agrotis segetum nucleopolyhedrovirus B	1	NC_025960.1	148981	281.673	50	0.0003356132661211	0.0018888777310179	0.1776786610429834	False	Viruses;Viruses incertae sedis;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus;Alphabaculovirus alteragsegetum;Agrotis segetum nucleopolyhedrovirus B	Agrotis segetum nucleopolyhedrovirus B isolate English, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	208013	Agrotis ipsilon multiple nucleopolyhedrovirus	1	NC_011345.1	155122	281.673	42	0.0002707546318381	0.0018141683420563	0.1492444915730706	False	Viruses;Viruses incertae sedis;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus;Alphabaculovirus agipsilonis;Agrotis ipsilon multiple nucleopolyhedrovirus	Agrotis ipsilon multiple nucleopolyhedrovirus, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	180230	Cyprinid herpesvirus 3	6	NC_009127.1	295146	281.673	71	0.0002405589098276	0.0057097455224017	0.0421312839396892	False	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae;Cyvirus;Cyvirus cyprinidallo3;Cyprinid herpesvirus 3	Cyprinid herpesvirus 3, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	1960255	Cacao swollen shoot CD virus	2	NC_038378.1	7203	281.673	51	0.0070803831736776	0.0752297147083019	0.0941168420102526	False	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus alphainflatheobromae;Cacao swollen shoot CD virus	Cacao swollen shoot CD virus isolate CI152-09, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	2083300	Bracoviriform facetosae	1	NC_043307.1	29631	281.673	66	0.0022273969828895	0.0094609846775747	0.2354297209855035	False	Viruses;Viruses incertae sedis;Polydnaviriformidae;Bracoviriform;Bracoviriform facetosae	Diolcogaster facetosa bracovirus segment 11, complete sequence	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	2072209	Esparto virus	19	NC_040536.1	183261	281.673	89	0.0004856461549374	0.0287807979459872	0.0168739642260406	False	Viruses;Viruses incertae sedis;Naldaviricetes;Lefavirales;Nudiviridae;Alphanudivirus;Alphanudivirus tertidromelanogasteris;Esparto virus	Esparto virus isolate SRR3939042_Esparto_2012, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
barcode32	1906244	Cyclophragma undans nucleopolyhedrovirus	1	NC_055467.1	142900	281.673	45	0.0003149055283414	0.0019691782835096	0.1599172258695889	False	Viruses;Viruses incertae sedis;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus;Alphabaculovirus cycundantis;Cyclophragma undans nucleopolyhedrovirus	Cyclophragma undans nucleopolyhedrovirus isolate Whiov, complete genome	Farm 7	With Symptoms	Negative PCR	Berne	3	0-4		None_detected
